true_class,Control,Bemegride,Bicuculline,Gabazine,(RS)-(Tetrazol-5-yl)glycine,Cis-ACPD,N-methyl-D-aspartate,Donepezil,Galantamine,Phenserine,Bethanechol,Muscarine,Pilocarpine
Control,3,0,2,20,0,0,0,0,0,0,0,0,0
Bemegride,2,0,1,2,1,0,0,0,0,0,0,0,0
Bicuculline,0,0,2,0,0,0,1,0,0,0,0,0,0
Gabazine,0,0,0,2,0,0,0,0,0,0,0,0,1
(RS)-(Tetrazol-5-yl)glycine,0,0,1,0,0,0,0,0,0,0,0,0,2
Cis-ACPD,0,0,0,3,0,0,0,0,0,0,0,0,0
N-methyl-D-aspartate,0,0,1,0,0,0,3,0,0,0,0,0,0
Donepezil,2,0,0,2,0,0,0,0,0,0,0,0,0
Galantamine,2,0,0,1,0,0,0,0,0,0,0,0,1
Phenserine,1,0,0,3,0,0,0,0,0,0,0,0,0
Bethanechol,0,0,0,3,0,0,0,0,0,0,0,0,0
Muscarine,1,0,0,0,0,0,0,0,0,0,0,0,0
Pilocarpine,2,0,0,4,0,0,0,0,0,0,0,0,2
